symbol,last_close,ma20,ma50,ma100,ma200,ma_band_pct,avg_pair_diff_pct
AUROPHARMA,1164.4,1167.92,1172.77,1166.31,1164.31,0.726,0.386
BANARISUG,3608.4,3599.43,3600.8,3615.71,3628.27,0.799,0.468
ANGELONE,2460.2,2576.87,2567.07,2554.43,2557.81,0.912,0.519
GICRE,386.1,382.9,379.36,379.37,382.95,0.931,0.617
BANARBEADS,123.27,121.94,122.35,123.7,123.38,1.427,0.853
ADOR,1065.8,1064.97,1055.3,1047.97,1047.89,1.603,0.916
APOLLOHOSP,7720.5,7422.37,7302.04,7313.2,7271.01,1.961,1.004
APCOTEXIND,369.45,369.51,369.81,373.64,377.0,2.027,1.187
APOLLOTYRE,454.75,483.23,495.45,496.14,489.67,2.838,1.631
ATUL,6468.0,6440.45,6255.74,6206.96,6297.02,3.61,1.911
BALKRISIND,2518.5,2536.81,2475.3,2440.75,2465.21,3.814,1.974
BAJFINANCE,1023.55,995.68,986.53,983.31,953.65,4.106,2.105
CAMS,709.2,724.41,732.33,746.17,762.44,5.362,3.006
ASIANPAINT,2413.1,2461.64,2567.55,2594.88,2572.36,5.521,2.794
ABB,6056.0,5708.91,5453.07,5357.91,5468.17,5.796,2.94
BAJAJHLDNG,11330.0,11108.6,11147.09,11502.68,11804.43,6.141,3.594
MASFIN,338.15,329.87,322.8,317.13,308.61,6.289,3.424
AEGISLOG,699.5,700.73,713.55,730.04,745.37,6.382,3.584
ANDHRSUGAR,71.84,72.54,73.23,74.73,77.52,6.934,3.815
ARVIND,357.55,357.79,340.16,332.25,332.71,7.142,3.919
BALRAMCHIN,456.95,451.36,445.33,457.88,481.17,7.844,4.16
ADANIENT,2183.0,2174.19,2194.41,2256.82,2348.3,7.976,4.464
AARTIIND,449.8,434.92,408.0,398.43,409.52,8.112,4.112
AUTOAXLES,2003.3,1985.82,1927.92,1867.21,1823.04,8.125,4.568
ALEMBICLTD,92.47,95.41,96.87,99.14,103.07,8.288,4.555
BALMLAWRIE,180.34,178.62,179.75,185.84,195.3,9.252,5.189
GODREJAGRO,638.35,606.8,590.0,610.04,649.2,9.273,4.721
ANDHRAPAP,67.56,67.4,67.32,69.45,73.83,9.63,5.323
ARENTERP,42.1,41.69,43.41,45.01,46.2,10.721,5.997
AAKASH,8.6,8.14,8.31,8.64,9.06,10.745,6.017
ACC,1619.1,1655.72,1701.39,1751.8,1830.75,10.81,5.924
UNIDT,174.81,184.5,190.02,195.19,203.83,11.054,6.019
ARE&M,858.8,861.47,883.6,915.44,961.36,11.631,6.433
ADL,73.82,72.6,74.55,77.67,81.55,12.133,6.771
ASHAPURMIN,531.2,602.0,673.35,674.35,616.36,13.619,8.598
TCPLPACK,2718.1,2819.69,2877.28,3026.07,3194.86,13.803,7.814
TIINDIA,2562.7,2472.46,2518.13,2652.2,2830.41,13.968,7.856
IEX,125.63,126.84,131.48,137.6,147.64,16.557,9.09
STYRENIX,1915.8,1947.11,1986.67,2124.31,2311.65,19.028,10.711
SHAREINDIA,133.96,144.88,151.3,157.36,171.52,19.884,10.697
CHEMCON,163.68,176.68,187.8,200.53,210.17,20.46,11.527
VALIANTORG,239.32,251.54,259.22,277.5,303.95,21.9,12.223
ASHOKLEY,210.18,203.25,190.51,174.15,154.92,22.995,12.794
NIRAJ,30.78,32.45,34.01,36.65,41.46,29.282,16.075
BAJAJHIND,15.24,16.32,17.3,18.67,20.87,29.819,16.407
ASHIMASYN,15.0,16.46,17.36,19.0,21.64,34.536,19.087
HAPPSTMNDS,362.8,390.87,421.89,461.4,519.99,35.589,19.61
21STCENMGM,36.67,38.64,41.38,44.89,51.88,36.122,19.657
GATECHDVR,0.47,0.47,0.48,0.51,0.65,38.283,20.155
ROUTE,494.7,556.37,609.2,674.01,795.03,48.243,26.305
